DECRETO,ASTA,MM-YY,TIPO,STATO,ACCESSO,DIETA,NUM_IMPIANTI,RINUNCE,CAPACITA_MEDIA_Mmcy,CAPACITA_MEDIA_Smch
DM2018,,,NEW,OPERATION,GRID,WASTE,27,,5.43,620
DM2018,,,NEW,OPERATION,GRID,AGRI,27,,5.43,620
DM2018,,,NEW,OPERATION,BIOLNG,WASTE,7,,5.43,620
DM2018,,,NEW,OPERATION,BIOLNG,AGRI,7,,5.43,620
DM2018,,,UPGRADING,OPERATION,GRID,WASTE,16,,5.43,620
DM2018,,,UPGRADING,OPERATION,GRID,AGRI,16,,5.43,620
DM2018,,,UPGRADING,OPERATION,BIOLNG,WASTE,7,,5.43,620
DM2018,,,UPGRADING,OPERATION,BIOLNG,AGRI,2,,5.43,620
DM2018,,,NEW,OPERATION,NON_GRID,AGRI,3,,5.43,620
DM2018,,,UPGRADING,OPERATION,NON_GRID,AGRI,3,,5.43,620
DM2018,,,NEW,QUALIFIED,GRID,WASTE,24,,4.11,469
DM2018,,,NEW,QUALIFIED,GRID,AGRI,16,,4.11,469
DM2018,,,NEW,QUALIFIED,BIOLNG,WASTE,7,,4.11,469
DM2018,,,NEW,QUALIFIED,BIOLNG,AGRI,4,,4.11,469
DM2018,,,UPGRADING,QUALIFIED,GRID,WASTE,3,,4.11,469
DM2022,1,,NEW,QUALIFIED,GRID,WASTE,0,,,586
DM2022,1,,NEW,QUALIFIED,GRID,AGRI,35,,515,421
DM2022,1,,NEW,QUALIFIED,BIOLNG,WASTE,9,,,586
DM2022,1,,NEW,QUALIFIED,BIOLNG,AGRI,2,,,421
DM2022,1,,UPGRADING,QUALIFIED,GRID,WASTE,0,,,586
DM2022,1,,UPGRADING,QUALIFIED,GRID,AGRI,14,,344,421
DM2022,1,,UPGRADING,QUALIFIED,BIOLNG,WASTE,0,,,586
DM2022,1,,UPGRADING,QUALIFIED,BIOLNG,AGRI,0,,,421
DM2022,2,,NEW,QUALIFIED,GRID,WASTE,1,,6652,586
DM2022,2,,NEW,QUALIFIED,GRID,AGRI,28,,507,421
DM2022,2,,NEW,QUALIFIED,BIOLNG,WASTE,9,,,586
DM2022,2,,NEW,QUALIFIED,BIOLNG,AGRI,2,,,421
DM2022,2,,UPGRADING,QUALIFIED,GRID,WASTE,0,,,586
DM2022,2,,UPGRADING,QUALIFIED,GRID,AGRI,8,,640,421
DM2022,2,,UPGRADING,QUALIFIED,BIOLNG,WASTE,0,,,586
DM2022,2,,UPGRADING,QUALIFIED,BIOLNG,AGRI,3,,,421
DM2022,3,,NEW,QUALIFIED,GRID,WASTE,0,,,586
DM2022,3,,NEW,QUALIFIED,GRID,AGRI,57,,491,421
DM2022,3,,NEW,QUALIFIED,BIOLNG,WASTE,11,,,586
DM2022,3,,NEW,QUALIFIED,BIOLNG,AGRI,4,,,421
DM2022,3,,UPGRADING,QUALIFIED,GRID,WASTE,0,,,586
DM2022,3,,UPGRADING,QUALIFIED,GRID,AGRI,57,,415,421
DM2022,3,,UPGRADING,QUALIFIED,BIOLNG,WASTE,0,,,586
DM2022,3,,UPGRADING,QUALIFIED,BIOLNG,AGRI,3,,,421
DM2022,4,,NEW,QUALIFIED,GRID,WASTE,1,,3129,586
DM2022,4,,NEW,QUALIFIED,GRID,AGRI,48,,568,421
DM2022,4,,NEW,QUALIFIED,BIOLNG,WASTE,4,,,586
DM2022,4,,NEW,QUALIFIED,BIOLNG,AGRI,7,,,421
DM2022,4,,UPGRADING,QUALIFIED,GRID,WASTE,0,,,586
DM2022,4,,UPGRADING,QUALIFIED,GRID,AGRI,75,,426,421
DM2022,4,,UPGRADING,QUALIFIED,BIOLNG,WASTE,0,,,586
DM2022,4,,UPGRADING,QUALIFIED,BIOLNG,AGRI,4,,,421
DM2022,5,,NEW,QUALIFIED,GRID,WASTE,3,,572,586
DM2022,5,,NEW,QUALIFIED,GRID,AGRI,99,,454,421
DM2022,5,,NEW,QUALIFIED,BIOLNG,WASTE,1,,,586
DM2022,5,,NEW,QUALIFIED,BIOLNG,AGRI,4,,,421
DM2022,5,,UPGRADING,QUALIFIED,GRID,WASTE,2,,284,586
DM2022,5,,UPGRADING,QUALIFIED,GRID,AGRI,186,,405,421
DM2022,5,,UPGRADING,QUALIFIED,BIOLNG,WASTE,,,,586
DM2022,5,,UPGRADING,QUALIFIED,BIOLNG,AGRI,3,,,
