YEAR,CUMULATIVEPRODUCTION(bn_Scm_y),PRODUCTION(bn_Scm_y),CAPACITY(bn_Scm_y),CUMULATIVECAPACITY(bn_Scm_y),PLANTS,BIOLNG,BIOLNG(kton),,,
2017,0.005,0.005,0.005,0.005,,,,,,
2018,0.016,0.011,0.016,0.021,,,,,,
2019,0.052,0.036,0.052,0.073,,,,,,
2020,0.105,0.053,0.37,0.443,26,2,5,,,
2021,0.175,0.07,0.42,0.863,36,4,10,,,
2022,0.229,0.054,0.58,1.443,66,10,27,,,
2023,0.333,0.104,0.77,2.213,110,21,58,,,
2024,0.44,0.107,0.79,3.003,114,21,58,,,
2025,0.6,0.16,1.33,4.333,250,29,80,,2902,23.216
,,,,,,,,,32000,280.32
